status	path	owners	hunks	changed_lines
M	tests/docs/test_documented_surface.py	M1	17	182
M	tests/docs/test_setup_guide.py	M1	3	9
A	tests/domain/test_alarm_typed_evidence.py	M7	1	124
A	tests/domain/test_assertion_drift.py	M7	1	107
A	tests/domain/test_audit_overclaim.py	M6	1	101
A	tests/domain/test_audit_overclaim_report.py	M6	1	92
A	tests/domain/test_audit_terminal_report.py	M6	1	138
A	tests/domain/test_authored_feasibility_compatibility.py	M1	1	37
A	tests/domain/test_barren_tick.py	M7	1	200
M	tests/domain/test_base_resolution.py	M3	1	2
M	tests/domain/test_base_scope.py	M3	3	5
A	tests/domain/test_comment_markers.py	M1	1	141
M	tests/domain/test_criteria_feasibility.py	M2	27	108
M	tests/domain/test_criteria_grading.py	M3	4	8
A	tests/domain/test_criterion_evidence.py	M4	1	103
M	tests/domain/test_criterion_identity.py	M3	13	97
A	tests/domain/test_criterion_lifecycle.py	M4	1	1220
A	tests/domain/test_detector_removal_report.py	M6	1	131
A	tests/domain/test_escalation_ageing.py	M7	1	325
A	tests/domain/test_fire_spec.py	M3	1	67
A	tests/domain/test_fire_spec_formatter.py	M3	1	70
A	tests/domain/test_fire_spec_purity.py	M3	1	44
A	tests/domain/test_gap.py	M3	1	153
A	tests/domain/test_issue_label_config.py	M1	1	64
A	tests/domain/test_lane_delivery.py	M5	1	9
A	tests/domain/test_lane_record.py	M4	1	230
A	tests/domain/test_mandate_graph.py	M2	1	454
M	tests/domain/test_operation_optionality.py	M1	4	7
A	tests/domain/test_organize.py	M2	1	775
A	tests/domain/test_organize_routing.py	M2	1	136
M	tests/domain/test_outcome.py	M5	10	33
A	tests/domain/test_record_consistency.py	M7	1	361
A	tests/domain/test_record_superseded.py	M7	1	318
A	tests/domain/test_recorded_landing.py	M4	1	331
A	tests/domain/test_ruling_identity.py	M4	1	99
A	tests/domain/test_ruling_protected_tests.py	M4	1	158
A	tests/domain/test_rulings.py	M4	1	139
A	tests/domain/test_run_alarm.py	M7	1	289
A	tests/domain/test_run_alarm_payload.py	M7	1	65
A	tests/domain/test_run_event_table.py	M4	1	122
A	tests/domain/test_scope_container.py	M1	1	137
A	tests/domain/test_scope_label_config.py	M1	1	120
A	tests/domain/test_scope_labels.py	M1	1	36
A	tests/domain/test_scope_ref.py	M1	1	98
A	tests/domain/test_scope_tally.py	M5	1	210
A	tests/domain/test_scope_terminal.py	M5	1	18
A	tests/domain/test_self_write_retention.py	M1	1	42
A	tests/domain/test_subtree_closure.py	M1	1	193
A	tests/domain/test_surface_contention.py	M1	1	272
A	tests/domain/test_surface_lease.py	M1	1	244
A	tests/domain/test_surface_lease_error.py	M1	1	48
A	tests/domain/test_topology.py	M3	1	241
A	tests/domain/test_topology_cycles.py	M3	1	99
A	tests/domain/test_union.py	M3	1	82
A	tests/domain/test_union_check_classification.py	M5	1	54
A	tests/domain/test_union_remediation.py	M3	1	113
M	tests/fakes.py	M1,M2,M3,M4,M5,M7	167	1405
A	tests/git_read_cancellation.py	M1	1	115
A	tests/identity_guards.py	M1	1	181
A	tests/integration/test_authored_aggregate_admission.py	M1	1	402
M	tests/integration/test_criteria_oracle.py	M1	16	33
A	tests/integration/test_derived_lifecycle_admission.py	M4	1	53
A	tests/integration/test_fixed_outbound_admission.py	M1	1	89
A	tests/integration/test_issue_key_carriage.py	M3	1	256
M	tests/integration/test_live_criteria_probes.py	M1	8	20
A	tests/integration/test_organize_scheduler.py	M2	1	238
A	tests/integration/test_organize_tick_halt.py	M2	1	50
A	tests/integration/test_pr_footer_gating.py	M5	1	98
A	tests/integration/test_private_reference_writes.py	M1	1	471
A	tests/integration/test_scope_launch_freshness.py	M3	1	62
A	tests/integration/test_scope_runtime.py	M3	1	751
M	tests/integration/test_self_running_chain.py	M1	8	38
M	tests/integration/test_stacked_scope.py	M3	10	18
M	tests/integration/test_workflow_e2e.py	M3	52	117
A	tests/model_members.py	M1	1	96
A	tests/outbound.py	M1	1	53
A	tests/probes/notion_records.py	M4	1	110
M	tests/probes/test_ab_smoke.py	M1	10	26
M	tests/probes/test_harness_capabilities.py	M1	18	71
A	tests/probes/test_live_ownership.py	M1	1	832
M	tests/prompt_census.py	M1	2	45
